name,method,mode,gamma,n_partitions,n,m,SCORE (mean),T1 degree,T2 eff. diameter,T3 hop plot,T4 scree,T5 network value,T6 triangles,clustering,transitivity,modularity,apl,diameter,lambda1,lambda2,gap,deg_mean,deg_sd,density,size_min,size_median,size_max,straddling_supernodes,parent_cross_edges,witness_median,ari_vs_deposited,nmi_vs_deposited,ari_vs_blocks
nx_louvain/perblock,nx_louvain,perblock,7.744247173969177,1015,1015,67133,0.1744052924657797,0.12512315270935961,0.05508550126200675,0.0626883180297021,0.5542736990497672,0.06403940886699508,0.1852216748768473,0.548809508636584,0.5064538226908312,0.5861659559242424,2.3214737517124786,5,157.0949869148032,141.82986778413166,15.265119130671536,132.28177339901478,46.02887734416749,0.13045539782940313,1,2.0,106,0,390486,1.0,0.17866018587410948,0.7225020190495802,0.033241871440689
leiden_mod/perblock,leiden_mod,perblock,7.4966705364412,1016,1016,64832,0.17500257031959962,0.13216322097668826,0.05552320621075967,0.07432450965691519,0.49631971722094026,0.07369186610294402,0.2179929017493503,0.5457647675793821,0.4940195725406248,0.5843348958240706,2.3329913502191535,5,153.71625905004257,139.2230130461848,14.493246003857763,127.62204724409449,48.03094132892515,0.1257360071370389,1,1.0,110,0,386201,1.0,0.1733725393867933,0.7193740064691632,0.035181286101103056
pylouvain/perblock,pylouvain,perblock,7.796845922656788,1015,1015,67483,0.19286183776081137,0.1270935960591133,0.05433941923241193,0.056531137232484166,0.648270913449726,0.0896551724137931,0.1812807881773399,0.5503046615752789,0.5090408968486508,0.5824883577375851,2.3164368787710963,5,159.05113471120208,142.32408889981207,16.727045811390013,132.97142857142856,46.519620008577405,0.13113553113553114,1,2.0,103,0,391081,2.0,0.17915829393917873,0.7228028259329952,0.03293320351308099
deposited (merge_densest),deposited,perblock,30.0,1015,1015,64760,0.2009262592451536,0.09852216748768473,0.012180210693498738,0.07334131265854447,0.8303808597050851,0.03940886699507389,0.15172413793103448,0.6118921120545754,0.5108383921597489,0.5554014658246861,2.1872057208927234,5,162.88742309754002,142.9553091389179,19.932113958622125,127.60591133004927,61.34879979259691,0.1258440940138553,2,6.0,59,0,445863,2.0,1.0,1.0,0.010355933292379365
leiden_mod/global,leiden_mod,global,24.360052079817446,1012,1012,80894,0.2994677086822068,0.25369652835919704,0.039333374204665116,0.12651520095215987,1.0535038713716658,0.1418797094959014,0.18187756770965166,0.5216959076045541,0.4880979524734215,0.5386227502518064,2.107110323985566,4,183.50238818731896,155.53196769536362,27.970420491955338,159.8695652173913,52.80805333137086,0.1581301337461833,1,1.0,161,16,367526,1.0,0.1495829936055178,0.7103893311947672,0.05233552304250914
pylouvain/global,pylouvain,global,25.3526122440399,1014,1014,83108,0.31204543829757164,0.2796795600509128,0.03994543605186735,0.12809372261850016,1.0578182594478616,0.1402289134384625,0.2265067381778257,0.5341043041764155,0.5022361281156003,0.5423689695778411,2.1023090357891787,4,186.3347718065928,159.3008344323432,27.033937374249604,163.92110453648914,51.5198558873544,0.16181747733118376,1,1.0,178,11,371383,1.0,0.15064345910075308,0.7141854024214244,0.05126483360793926
nx_louvain/global,nx_louvain,global,25.266951174284877,1013,1013,83208,0.3138722989726322,0.29338598223099704,0.03988091241441446,0.1285715242211336,1.0593288408974035,0.12281716989481567,0.2392493641770287,0.5357364718681349,0.5038707421986588,0.5456490568160056,2.1017464659037257,4,186.1051926182121,160.63478572820404,25.470406890008064,164.28035538005923,51.37545804285921,0.16233236697634312,1,1.0,161,18,371058,1.0,0.1511637549271327,0.71336484225658,0.05091924072166778
leiden_cpm/global,leiden_cpm,global,0.4030837763615007,1015,1015,15734,0.4717472412347503,0.8068965517241379,0.2402389507053036,0.3242642943060964,0.3684432565842944,0.21576354679802956,0.8748768472906404,0.7070116110062208,0.3006668089862243,0.6399108904877515,2.6972474033481992,5,62.193069100740885,53.3589230139785,8.834146086762388,31.00295566502463,35.58921338679243,0.03057490696747991,1,3.0,139,0,334432,2.0,0.15629173649050945,0.7196688165709486,0.04642983797423875
leiden_cpm/perblock,leiden_cpm,perblock,0.40390315212616024,1013,1013,16119,0.47206935017152407,0.8037133034103453,0.23338713987316145,0.31522223893469276,0.40641089749932613,0.20386016271232596,0.8698223585992929,0.6999776533952838,0.301899625191099,0.6444160069163616,2.6861980030356354,5,63.42542726691585,53.944714632462365,9.480712634453482,31.824284304047385,36.1052088106923,0.03144692124905868,1,3.0,139,0,334720,2.0,0.15624522502456917,0.7208390822707029,0.04632036069109183
